"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,Post-reading coding,,,,,,RR coding
Paper,Research Q,Methodology,Topic,Autonomy level,"Findings (positive, negative, mixed, neutral)",Application domain,Sub-method A,Sub-method B,Repeatable,Comparison,Real system built,Real system compared,Citations,Dataset,Award,Build possible,Adapt type,Explicit Research Question,Whole-system autonomy,Adaptation Controller
SASO_Tamersoy,"How can the adaption of model objects (roles goals and organisations), reduce the complexity of requirement models for  Adaptive Multi-organizational Systems? ",Case-Study Story,Improve requirements model and reduce model complexity ,N/A,Positive (Brief mention that increased comprehension for users was observed),Adaptive Multi-organizational Systems,,,No (No explicit details were given beyond the mention of a case-study performed),Non-adaptive model ,N/A,N/A,1,N/A,N,N/A,Roles and goals (model objects),N,N,Non-Functional requirements 
SASO_Esterle,Can ef?cient coverage maximisation be achieved while limiting information exchange and altering the current con?guration over time?,Simulation,Improved approximation algorithm,Level 4,Positive (mostly),Smart camera networks ,approximation algorithms,,"Yes (algorithms, simulation tools and problem are detailed)",Self-organising is compared against decentralised and centralised variations of the same algorithm,No,No (Simulated systems compared),6,N/A,N,Yes,Camera coverage,Y,Y,Protocol
SASO_Audrito,Can a compositional gradient algorithm maintain a low communication overhead with higher accuracy in dynamic environments?,Real-world experiments,New gradient algorithm,Level 4,Positive ,IoT,gradient algorithm,Self-Healing gradient ,Yes (code available and the layout of physical hardware described),Individual gradient algorithms and a dampened variant of their approach,Yes,Yes,21,N/A,N,Yes,Gradient algorithm ,N,N,Protocol
SASO_Weißbach,Can role-based adaption operations be used to perform correlated adaptions within self-adaptive systems?,Real-world experiments,Coordination of managed application adaption,N/A,Positive,distributed self-adaptive software systems,,,Yes (the experiment is clearly defined with code/approach detailed in a previously referenced paper),compares different scenarios and node count,Yes,No,9,Synthetic ,N,Yes,Managed application behaviour,N,N/A,N/A
SASO_Khaluf,Can a threshold mechanism with a limited robotic swarm cooperate to perform efficient edge detection within a dynamic environment? ,Simulation,Edge detection for robotic swarms,Level 4,Positive ,Robot agents,Image edge detection,,"Partial (no code. However, algorithm and simulation tool used are detailed)",various scenarios (images) using the same implementation,No,No,4,Synthetic ,N,Yes,algorithm,N,N,Protocol
SASO_ Jahan,Can correctness proofs be used to increase verification awareness by highlighting verification concerns within portional self-adaptive system adaptations?   ,Case-Study/Simulation,Improve verification awareness within Self-Adaptive systems ,Level 3,Neutral,Verification Awareness ,,,Yes (code available with detailed experiment steps),Adaption plans for verification,N/A,N/A,4,Private/Synthetic,N,Yes,Adapt plans (may influence the termination of a selected adaptation),N,N,N/A
SASO_Birdsey,Which metrics are most suitable for identifying self-organisation and adaptability within complex adaptive systems?,Simulation/New framework,Research/analysis framework,N/A,Negative ,Complex adaptive systems ,Observation frameworks ,,"Partial (no code. However, observation tool and models are all detailed/referenced)",Multiple CAS using the same observation tool,Yes,No,7,N/A,N,Yes,N/A,N,N/A,N/A
SASO_Pitt,can interactional justice be used as a self-governing mechanism for self-organising systems?,Simulation,Theoretical exploration,N/A,Positive ,Self-Governance (consensus among agents),,,Yes (motivation and algorithms are detailed within the paper),No,No,No,6,N/A,N,Yes,N/A,N,N/A,N/A
SASO_Paduraru,Can multi-level control mechanisms be used to model and assemble heterogeneous modules?,Simulation,2-dimensional self-assembly ,N/A,Positive ,Self-Assembly (module-based),,,"Partial (no code. However, details given for models used)",No,No,No,3,Synthetic,N,Yes,Modules (defined components),N,N,N/A
SASO_Disterhoft,Can skip graphs be used within P2P networks to reduce search times and expand search capabilities?,Simulation,Multi-dimensional search,N/A,Positive ,Distributed Hash Tables,,,Yes (the methodology is detailed extensively in referenced paper and repeats a previous experiment ),Yes ,No,"Yes (Existing alternative approach, CapSearch)",1,Public (referenced in a previous paper),N,Yes,N/A,N,N/A,N/A
